Epo_degradation_BaF3,k_exp_hetero,k_exp_homo,k_imp_hetero,k_imp_homo,k_phos,sd_pSTAT5A_rel,sd_pSTAT5B_rel,sd_rSTAT5A_rel,vector_tag
-1.5691282707957936,-4.999998767996917,-2.2098944975068404,-1.7858662065416229,4.208588018212371,4.197706391412308,0.5857827246164194,0.8187445532119572,0.4986808774406521,"(81, -1)"
-1.569626464169819,-4.999977999639191,-2.209421418582347,-1.78553115842035,3.307360294112254,4.197760162178731,0.5862071799388714,0.818761648228102,0.4985510971813329,"(61, -1)"
-1.5691208056417747,-4.998633982103521,-2.2099428201983082,-1.7858572142811355,3.128989329359378,4.197691892937518,0.5855942372749762,0.8188491857487215,0.49857285959929254,"(45, -1)"
-1.5234245569531495,-4.999999996249719,-2.0345896083674857,-1.83083720434362,-1.673782223376003,3.9412011444400155,0.5077876951655879,0.8038278710868831,0.7960752059950819,"(11, -1)"
-1.5225842466023487,-4.999979395040509,-2.0344555003782077,-1.8309915245418826,-1.6752736398695325,3.9411244627074393,0.5063380063504189,0.8045876369672686,0.7964212850882894,"(21, -1)"
-1.523062227123109,-4.994153177726693,-2.0331239272558372,-1.8309636800906042,-1.675031717361715,3.941094993441628,0.5078654013109877,0.8032475219929285,0.7962920897757891,"(88, -1)"
-1.5239980584080424,-4.9995874748005615,-2.0372754838398257,-1.830516070993602,-1.6719902946750527,3.9412774076143418,0.507597331359611,0.8045745251743303,0.7958676278990369,"(86, -1)"
-1.5172129352579065,-4.999999999999961,-2.026131397583275,-1.834716159533006,-1.6820586963120592,3.940828129432845,0.5084559254702515,0.8023597183041657,0.7968669723711996,"(52, -1)"
-1.503178523998069,-3.357124749764784,3.556287847073247,-1.7779146038618319,-1.7586739683752266,3.9819767411154343,0.6320321211802957,0.7892978077759689,0.7348139754781409,"(23, -1)"
-1.5031867708976125,-3.3560326020908153,4.618914576393115,-1.7779346946048267,-1.7586230298561614,3.9819886910698328,0.6320270403210002,0.7893129731870563,0.7347918249252835,"(20, -1)"
-1.5030824942450247,-3.3508622059845377,3.3452024491830152,-1.7783196375908443,-1.758268590373048,3.9820618154200913,0.6317864383746455,0.7894550568671775,0.7352618854949252,"(43, -1)"
-1.5033775392154827,-3.3473787695077326,2.9146620635915244,-1.7778491357106927,-1.7581810655780254,3.982185137133578,0.6322194554121958,0.7893947740376077,0.7346422544551038,"(75, -1)"
-1.503208594299916,-3.355283805055318,2.8267614981768414,-1.7779141773412737,-1.7585901377876316,3.9820112854709686,0.6320335813467953,0.7893254194164111,0.7347624786308731,"(4, -1)"
-1.5026861312155884,-3.366989810176219,4.218235320278229,-1.7781927754655664,-1.7595345360391201,3.9817895793228035,0.6315325912099764,0.7891317060461626,0.7355995646911839,"(5, -1)"
-1.5030723552748773,-3.3534795119215346,2.607898571473894,-1.7781896747568187,-1.7585363103668243,3.981803423949736,0.6323071444095419,0.7890614191079042,0.7346722336209959,"(62, -1)"
