Epo_degradation_BaF3,k_exp_hetero,k_exp_homo,k_imp_hetero,k_imp_homo,k_phos,sd_pSTAT5A_rel,sd_pSTAT5B_rel,sd_rSTAT5A_rel,vector_tag
-1.5693206315125554,-4.914839294697274,-2.2092069929318456,-1.7857822139615924,2.8542746115370297,4.197726239653781,-2.0764682092303097,-2.480777539588129,-3.4520199128598548,"(58, -1)"
-1.5691824973453734,-4.944309235820119,-2.2094934819146004,-1.7858286772299803,3.0892695754464015,4.197739319722181,-2.748617289251482,-1.5928945863709059,-3.0484478971387787,"(17, -1)"
-1.5699938565826603,-4.998265482166051,-2.2101154027134413,-1.7852623903105502,3.4084301055964947,4.197707855084657,-0.8994485005315497,-1.5466193474215035,-2.7277256067001883,"(1, -1)"
-1.568956975457242,-4.454135660828895,-2.209113550191762,-1.7866397869126094,2.5922412986846446,4.19758821176312,-1.4722331305791176,-2.0557937898612426,-1.6557055402860221,"(75, -1)"
-1.5702279085446946,-4.395259304225729,-2.2026106551755364,-1.7857554271554803,2.9316287634740275,4.197975854724477,-1.3958915711642375,-1.471991298276012,-2.0449326553780147,"(30, -1)"
-1.5971740371457446,-4.999978718791901,-2.480928110539617,-1.8246701083920225,-1.338856910404814,3.921229663809597,0.5076414133345435,-1.0459180728233601,0.5772920095366723,"(28, -1)"
-1.585080327929193,-4.996929582911991,-2.3015240907931,-1.7940613033575614,-1.1138099715478134,4.051370318379812,-0.7948227686171321,0.47660242620360316,0.3857205450253894,"(19, -1)"
-1.2597874428543663,-4.963645139039281,-2.235742987628972,-1.9219263365381993,-1.7915085030968785,3.931864018713671,0.39467955947830735,-0.712431396916198,0.7379260850443193,"(69, -1)"
-1.440415165666972,-2.4323656086134418,4.146653381752409,-1.8338871134499621,-1.8452543471892167,3.9146976264749536,0.5688098689175024,-0.7496426264166313,0.6732958977673038,"(49, -1)"
-1.4403215488413856,-2.432250204855185,3.5154428638194593,-1.8340353446013653,-1.845251952836909,3.914700061884434,0.5689754795534889,-0.7501336754145546,0.6735470607552286,"(29, -1)"
-1.4402652077805096,-2.4324551476290432,2.992772122194364,-1.8339776585988479,-1.8454336029506888,3.914682847105205,0.5696106526251182,-0.7513750678361373,0.6734687559237256,"(37, -1)"
-1.4403812665987363,-2.4319400852346176,2.43837400657327,-1.834025398905861,-1.8452147081780435,3.914699468159303,0.5688689490853017,-0.7501914552381999,0.6734545664991657,"(96, -1)"
-1.440407226766016,-2.431092841366923,4.857879734699805,-1.8342137062406982,-1.845042751722844,3.914696601033344,0.5687376704298408,-0.7495012041641463,0.6734279777450008,"(23, -1)"
-1.4401184063158101,-2.4333659580159326,3.751928330232888,-1.8335853862786795,-1.846159780932229,3.914678481667896,0.5699707691120073,-0.7514187342608544,0.6718792334088892,"(35, -1)"
-1.4402499258624157,-2.4279120663549096,4.487563604437221,-1.8345314348561719,-1.8455642575278868,3.9147012975115896,0.5663432053905114,-0.748119854211131,0.6730167618508527,"(7, -1)"
