problem_name,mechanistic_setting,dataset,sampling_strategy,par_row,array_nr,epochs_adam,epochs_bfgs,lr_adam,stepnorm_bfgs,λ_reg,act_fct,hidden_layers,hidden_neurons,tolerance,MSE,nMSE,runtime,loss,negLL
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,61,500,1000,0.1,0.01,100,tanh,1,8,1E-08,0.000518185195389,0.001030862252108,5.43751666666667,-687.606521639851,-749.358273994678
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,49,500,1000,0.0001,1E-05,100,tanh,1,8,1E-08,0.000690672975388,0.00117191064379,5.70036666666667,-677.406253437014,-721.597255724923
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,57,500,1000,0.01,0.001,100,tanh,1,8,1E-08,0.000513863889178,0.001044767933106,5.78991666666667,-686.850055728664,-749.327698141636
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,53,500,1000,0.001,0.0001,100,tanh,1,8,1E-08,0.000773016218079,0.001318928953716,5.91081666666667,-673.504784289931,-713.586779303859
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,52,500,1000,0.0001,1E-05,0.001,tanh,1,8,1E-08,0.000595641575114,0.001290920344441,6.01088333333333,-739.981229294981,-739.98262170533
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,50,500,1000,0.0001,1E-05,1,tanh,1,8,1E-08,0.000542560623585,0.00108091945611,6.13573333333333,-741.131819286338,-742.342739371353
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,51,500,1000,0.0001,1E-05,0.01,tanh,1,8,1E-08,0.000545133588217,0.001483864436996,6.27618333333333,-744.671769550007,-744.685996304702
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,32,500,1000,0.1,0.01,0.001,tanh,2,4,1E-08,0.000522107455794,0.00113423096993,6.42835,-777.703663053527,-777.707731431049
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,100,500,1000,0.0001,1E-05,0.001,rbf,1,4,1E-08,0.001420344078737,0.00452067127849,4.1643,-673.758793003527,-673.759719181428
three_species_lotka_volterra,lv_missing_dynamics,lotka_volterra_datapoints_80_noise_5,no_sampling,1,101,500,1000,0.001,0.0001,100,rbf,1,4,1E-08,0.002526451305303,0.0067525288485,4.17278333333333,-599.543941553933,-658.502241101817
